id_comercio|comercio_bandera_nombre
2|Bomba
2|La Anonima
2|Topsy
3|DEHEZA S.A.I.C.F. e I.
4|ESTACION LIMA S.A.
5|California Supermercados
8|Mariano Max
9|Disco
9|Jumbo
9|Vea
10|Express
10|Hipermercado Carrefour
10|Market
11|Changomas
11|HiperChangomas
11|SuperChangomas
12|COTO CICSA
13|Cooperativa Obrera Limitada de Consumo y Vivienda
15|Supermercados DIA
16|Hipermercado Libertad
16|Mini Libertad
16|Petit Libertad
19|FULL
20|LA AGRICOLA REGIONAL COOPERATIVA LIMITADA
21|Toledo
23|Axion Energy
24|FARMACITY
24|SIMPLICITY
36|SuperCLC
47|Sup. Unicoop        
1000|FRIGORIFICO GORINA S.A.I.C.
1003|Potigian
2000|MUSIMUNDO
2002|Fravega
2004|Coppel S.A.
2005|Naldo
2007|Sony
2013|Mercado Libre
3001|BLAISTEN
3001|EASY
